scenario_id,point_score,mean_R_CI,median_R_CI,p05_R_CI,p95_R_CI,point_state,modal_state,p_bounded,p_human_approved,p_assisted,p_shadow,p_rollback,p_point_state,p_state_change,boundary_margin,n,sigma,seed
CDI-001,0.1705,0.17094716400626492,0.17053860030250187,0.13463531804932852,0.20775490686774853,Bounded automation,Bounded automation,0.9005,0.0995,0.0,0.0,0.0,0.9005,0.09950000000000003,0.0295,10000,0.05,42
MFG-001,0.30550000000000005,0.30553457762864844,0.30566193002230396,0.2686474779540865,0.34242025743773663,Human-approved intervention,Human-approved intervention,0.0,0.9766,0.0234,0.0,0.0,0.9766,0.023399999999999976,0.04449999999999993,10000,0.05,43
SUB-001,0.3385,0.3387130696504967,0.3385100378794141,0.3015778858208132,0.37617369394967975,Human-approved intervention,Human-approved intervention,0.0,0.6924,0.3076,0.0,0.0,0.6924,0.3076,0.011499999999999955,10000,0.05,44
RAIL-001,0.3705,0.37061864062888517,0.37024870782873587,0.33372473959135296,0.4080978355963393,Assisted defense,Assisted defense,0.0,0.1791,0.8209,0.0,0.0,0.8209,0.17910000000000004,0.020500000000000018,10000,0.05,45
HOSP-001,0.4195,0.41929955665070556,0.41942726362842975,0.38235356701560025,0.4562171400351127,Assisted defense,Assisted defense,0.0,0.0006,0.9989,0.0005,0.0,0.9989,0.0010999999999999899,0.0695,10000,0.05,46
WATER-001,0.5,0.499696271720195,0.49968251085311177,0.46283976400776144,0.536282080361991,Shadow / restricted,Assisted defense,0.0,0.0,0.5067,0.4933,0.0,0.4933,0.5066999999999999,0.0,10000,0.05,47
POWER-001,0.46456450000000005,0.4643381050138606,0.46443528432375625,0.4263861135182723,0.5017663248519402,Assisted defense,Assisted defense,0.0,0.0,0.9414,0.0586,0.0,0.9414,0.058599999999999985,0.03543549999999995,10000,0.05,48
BUILD-001,0.6072121500000001,0.6072454002405697,0.6074836553237776,0.5701979416660978,0.6445799580578868,Shadow / restricted,Shadow / restricted,0.0,0.0,0.0,0.9717,0.0283,0.9717,0.028299999999999992,0.04278784999999996,10000,0.05,49
SUB-002,0.37721330000000003,0.377923107282384,0.37801613376246546,0.34222128303681043,0.41431466298157354,Assisted defense,Assisted defense,0.0,0.1012,0.8988,0.0,0.0,0.8988,0.10119999999999996,0.02721330000000005,10000,0.05,50
WATER-002,0.30486965,0.3048467716143815,0.30489635571626733,0.2680265155463293,0.3413610913747025,Human-approved intervention,Human-approved intervention,0.0,0.9794,0.0206,0.0,0.0,0.9794,0.02059999999999995,0.045130349999999986,10000,0.05,51
WW-001,0.33709785000000003,0.3375778973574375,0.3373067660664568,0.30109872989580916,0.3744498007688237,Human-approved intervention,Human-approved intervention,0.0,0.7086,0.2914,0.0,0.0,0.7086,0.2914,0.012902149999999946,10000,0.05,52
WW-002,0.48905780000000004,0.489201892480659,0.4893777094262622,0.4520303494673784,0.5261443033835999,Assisted defense,Assisted defense,0.0,0.0,0.6883,0.3117,0.0,0.6883,0.3117,0.010942199999999958,10000,0.05,53
RAIL-002,0.5853985500000001,0.5829209973221803,0.5829528918633201,0.5475765390505278,0.6184001065939185,Shadow / restricted,Shadow / restricted,0.0,0.0,0.0001,0.9993,0.0006,0.9993,0.0007000000000000339,0.06460144999999995,10000,0.05,54
ROAD-001,0.42321465,0.4230176463499016,0.4227546112020019,0.3863676672181972,0.46118803170611067,Assisted defense,Assisted defense,0.0,0.0006,0.9991,0.0003,0.0,0.9991,0.0009000000000000119,0.07321465000000005,10000,0.05,55
ROAD-002,0.46321870000000004,0.46295924955418977,0.4630516248308083,0.4259685976790853,0.500283543215464,Assisted defense,Assisted defense,0.0,0.0,0.9484,0.0516,0.0,0.9484,0.05159999999999998,0.03678129999999996,10000,0.05,56
HEALTH-001,0.34336545,0.3436799268426369,0.3434301820313955,0.3065839679739891,0.3807256248711533,Human-approved intervention,Human-approved intervention,0.0,0.6119,0.3881,0.0,0.0,0.6119,0.3881,0.006634549999999961,10000,0.05,57
HEALTH-002,0.35095095,0.3513917020900218,0.3514872553173002,0.3142090764412137,0.38899625005538835,Assisted defense,Assisted defense,0.0,0.4735,0.5265,0.0,0.0,0.5265,0.47350000000000003,0.000950950000000006,10000,0.05,58
HOSP-002,0.63645795,0.6364059514120539,0.636459394675695,0.599541879832706,0.6740011097292862,Shadow / restricted,Shadow / restricted,0.0,0.0,0.0,0.7314,0.2686,0.7314,0.26859999999999995,0.013542049999999972,10000,0.05,59
MFG-002,0.29303045,0.29419117790048266,0.29428297145381666,0.2581795084300691,0.330032641869983,Human-approved intervention,Human-approved intervention,0.0,0.9946,0.0054,0.0,0.0,0.9946,0.00539999999999996,0.05696954999999998,10000,0.05,60
CHEM-001,0.2614148,0.26370938071989414,0.26361200750323055,0.22899430756934433,0.29934434594950576,Human-approved intervention,Human-approved intervention,0.0004,0.9995,0.0001,0.0,0.0,0.9995,0.0004999999999999449,0.06141479999999999,10000,0.05,61
CHEM-002,0.42054615,0.4203481948472717,0.42020080358417156,0.3835601592676934,0.4572237380459496,Assisted defense,Assisted defense,0.0,0.0009,0.9988,0.0003,0.0,0.9988,0.0011999999999999789,0.07054615000000003,10000,0.05,62
OIL-001,0.60618,0.6055737887992109,0.6057905936369543,0.5679262410255166,0.6427048212442714,Shadow / restricted,Shadow / restricted,0.0,0.0,0.0,0.9758,0.0242,0.9758,0.0242,0.04381999999999997,10000,0.05,63
