scenario_id,draws,point_state_rank,P_same_state,P_more_restrictive,P_more_permissive,score_mean,score_p05,score_p95,corr_wC_score
CDI-001,5000,0,0.9996,0.0004,0.0,0.17053139172158105,0.157013098252365,0.18466790923779453,0.47492109136482896
MFG-001,5000,1,0.998,0.002,0.0,0.30543638301670617,0.27896330445465706,0.3316151117448538,0.8198225309764876
SUB-001,5000,1,0.674,0.326,0.0,0.3386478338263625,0.29845360348889793,0.38000452576589755,0.8672717303839004
RAIL-001,5000,2,0.7776,0.0,0.2224,0.370347576341282,0.32971179793230976,0.4141449808187087,0.9641382434011281
HOSP-001,5000,2,0.9996,0.0,0.0004,0.419234158797848,0.38465159149597045,0.4543654124977053,0.5780769495211615
WATER-001,5000,3,0.5004,0.0,0.4996,0.500440246166484,0.46365523822742255,0.5397720217032054,0.918510292015099
POWER-001,5000,2,0.9988,0.0012,0.0,0.46442850133124064,0.4469073695083382,0.48288527537523374,-0.4270701178801083
BUILD-001,5000,3,0.9846,0.0154,0.0,0.6074569290355666,0.5755549307421846,0.6396761995911115,-0.08798501465147585
SUB-002,5000,2,0.8616,0.0,0.1384,0.37812957376335476,0.3373613828645578,0.42166340248036427,-0.16721597961237378
WATER-002,5000,1,0.9932,0.0068,0.0,0.3045450142785019,0.2761585178745717,0.3343925261063947,0.08371765600861106
WW-001,5000,1,0.7484,0.2516,0.0,0.3367753462425012,0.3043908916838863,0.3703988529193752,0.22464642333965415
WW-002,5000,2,0.7272,0.2728,0.0,0.4891936133990639,0.45948588025889076,0.5180017142331107,0.6436891999390272
RAIL-002,5000,3,0.9992,0.0008,0.0,0.5854423157909592,0.5553082099096089,0.618885641514089,-0.49517646294055645
ROAD-001,5000,2,0.9998,0.0002,0.0,0.4229397170087215,0.39054061470328766,0.45685984648890576,0.9491337265584793
ROAD-002,5000,2,0.9846,0.0154,0.0,0.4635493614585797,0.4344731900894901,0.4911581735908061,0.17279220127126763
HEALTH-001,5000,1,0.7096,0.2904,0.0,0.34313624904147944,0.32153407209637086,0.3650468836886456,-0.0856962159060581
HEALTH-002,5000,2,0.5066,0.0,0.4934,0.351279975097275,0.31321303139835655,0.39129117632642774,0.9802742777552619
HOSP-002,5000,3,0.9948,0.0052,0.0,0.6364009694374844,0.6275396871180798,0.6450624272940091,0.04062216310342986
MFG-002,5000,1,0.9992,0.0008,0.0,0.2928816104498718,0.26418199405703263,0.3221554722450578,0.5384060970193961
CHEM-001,5000,1,0.9994,0.0,0.0006,0.2615635969931048,0.23226895834431957,0.29188763170235515,0.04439925494099031
CHEM-002,5000,2,0.9992,0.0002,0.0006,0.420192968103785,0.3827787035718797,0.4559453030754717,0.47079310555898557
OIL-001,5000,3,0.999,0.001,0.0,0.6066740175622286,0.5836562553050622,0.6305851267822213,-0.2624507578465575
OIL-002,5000,1,1.0,0.0,0.0,0.24435417131588147,0.22999601450683965,0.2584473668934582,0.16257684328997987
TEL-001,5000,3,1.0,0.0,0.0,0.572378476037924,0.5511904339763686,0.5934754943887415,0.2190052159790877
TEL-002,5000,1,1.0,0.0,0.0,0.3002518021621982,0.27902503383014765,0.32078900244850195,0.4196571052570999
CDI-002,5000,2,0.9998,0.0,0.0002,0.39330152245297795,0.37416629998842404,0.41088519691950093,0.012628009030040157
DC-001,5000,3,1.0,0.0,0.0,0.5637218551804143,0.5426202247579534,0.5864229225187657,0.0008431088311575617
PA-001,5000,2,1.0,0.0,0.0,0.4134342556361762,0.39658349167042845,0.43039940414213207,0.5707509270666927
FOOD-001,5000,3,0.9872,0.0,0.0128,0.5420860034591073,0.5114328994056764,0.5717713171913948,0.07169601432817685
LOG-001,5000,2,1.0,0.0,0.0,0.4089405319680864,0.3881818693928061,0.4294602197651155,0.7654310706525801
