scenario_id,title,sector,E,D,A,F,C,R_CI,provisional_authority,final_authority,w_C_times_C,best_reachable_state,boundary_margin,P_point_state,P_state_change,binding_constraint,evidence_class
CDI-001,Critical digital infrastructure DDoS response,cloud/digital infrastructure,0.3,0.1,0.08,0.08,0.25,0.1705,Bounded automation,Bounded automation,0.0625,Bounded automation,0.0295,0.9005,0.09950000000000003,Score,ILLUSTRATIVE
MFG-001,Smart manufacturing supply-chain compromise,smart manufacturing,0.4,0.22,0.16,0.1,0.55,0.30550000000000005,Human-approved intervention,Assisted defense,0.1375,Bounded automation,0.04449999999999993,0.9766,0.023399999999999976,G_H,ILLUSTRATIVE
SUB-001,Electric-grid substation anomalous remote commands,substations,0.45,0.15,0.1,0.08,0.75,0.3385,Human-approved intervention,Assisted defense,0.1875,Bounded automation,0.011499999999999955,0.6924,0.3076,G_H,ILLUSTRATIVE
RAIL-001,Rail signalling anomaly response,rail,0.35,0.2,0.12,0.15,0.85,0.3705,Assisted defense,Assisted defense,0.2125,Human-approved intervention,0.020500000000000018,0.8209,0.17910000000000004,Score,ILLUSTRATIVE
HOSP-001,Hospital ransomware containment,hospitals,0.7,0.25,0.18,0.2,0.65,0.4195,Assisted defense,Assisted defense,0.1625,Bounded automation,0.0695,0.9989,0.0010999999999999899,Score,ILLUSTRATIVE
WATER-001,Water-treatment sensor manipulation,water treatment,0.55,0.35,0.3,0.25,0.9,0.5,Shadow / restricted,Shadow / restricted,0.225,Human-approved intervention,0.0,0.4933,0.5066999999999999,Score,ILLUSTRATIVE
POWER-001,Electric power EMS credential misuse,electric power,0.326356,0.674059,0.50271,0.473775,0.37728,0.46456450000000005,Assisted defense,Shadow / restricted,0.09432,Bounded automation,0.03543549999999995,0.9414,0.058599999999999985,G_A,ILLUSTRATIVE
BUILD-001,Building automation remote-access compromise,building automation,0.341045,0.838075,0.372391,0.86488,0.570214,0.6072121500000001,Shadow / restricted,Shadow / restricted,0.1425535,Bounded automation,0.04278784999999996,0.9717,0.028299999999999992,Score,ILLUSTRATIVE
SUB-002,Substation relay configuration drift,substations,0.053918,0.892996,0.250705,0.361925,0.311359,0.37721330000000003,Assisted defense,Shadow / restricted,0.07783975,Bounded automation,0.02721330000000005,0.8988,0.10119999999999996,G_A,ILLUSTRATIVE
WATER-002,Water historian poisoning,water treatment,0.314886,0.634125,0.08153,0.099616,0.331659,0.30486965,Human-approved intervention,Human-approved intervention,0.08291475,Bounded automation,0.045130349999999986,0.9794,0.02059999999999995,Score,ILLUSTRATIVE
WW-001,Wastewater internet-facing PLC compromise,wastewater,0.197566,0.076648,0.764606,0.309997,0.422259,0.33709785000000003,Human-approved intervention,Assisted defense,0.10556475,Bounded automation,0.012902149999999946,0.7086,0.2914,G_H,ILLUSTRATIVE
